province,province_abb,hr_uid,region,pop,area,popdens,pwpd_250m,pwpd_1km,pwpd_30as,pwlogpd_250m,pwlogpd_1km,pwlogpd_30as,gamma_250m,gamma_1km,gamma_30as
Ontario,ON,3575,Southwestern Health Unit,201948,3974,50.81281814,1896.939209,1126.595661,1171.306641,6.833972931,6.110440254,5.95624733,0.327285842,0.373944612,0.378852483
Ontario,ON,3595,City of Toronto Health Unit,2771684,646,4289.47735,12289.38867,6919.886707,7521.195313,9.023623466,8.663542441,8.727992058,0.113869861,0.074001041,0.086976746
PEI,PE,1100,Prince Edward Island,131290,5797,22.64968897,1121.158325,552.6550006,553.026001,6.256494522,5.19734255,4.739729881,0.341152801,0.369752897,0.371071728
Quebec,QC,2400,Entire Province,7894715,1505658,5.243365004,4522.071777,2950.069956,3219.952637,7.716257095,7.160164571,7.036818027,0.397695517,0.445248139,0.451181224
Quebec,QC,2401,Region du Bas-Saint-Laurent,198886,22718,8.754411861,1445.484375,760.1955728,835.4083252,6.607699871,5.69577464,5.225099087,0.398846717,0.445824682,0.454502573
Quebec,QC,2402,Region du SaguenayLac-Saint-Jean,279688,105933,2.640222948,1759.002441,1028.049081,1118.053955,6.988959312,6.276136825,5.964877129,0.453292126,0.51509728,0.523055799
Quebec,QC,2403,Region de la Capitale-Nationale,690771,19422,35.56554624,4247.81543,2718.426252,2941.720703,7.871481895,7.352510246,7.25259304,0.378182014,0.439477824,0.445906207
Quebec,QC,2404,Region de la Mauricie et du Centre-du-Quebec,522316,47225,11.06019382,1979.906738,1147.740125,1249.407593,7.010504246,6.280943271,6.023608208,0.383254608,0.431327991,0.43918189
Quebec,QC,2405,Region de l'Estrie,484129,12847,37.68291016,2015.044189,1174.059555,1253.904907,6.903687,6.183734639,5.930315971,0.325270264,0.363394398,0.370391755
Quebec,QC,2406,Region de Montreal,1748233,469,3724.089611,10537.0127,7238.031281,7933.162598,9.023481369,8.718771592,8.809465408,0.11654606,0.10783763,0.122233555
Quebec,QC,2407,Region de l'Outaouais,402968,34065,11.8294807,3059.083008,1753.314883,1956.441284,7.363420486,6.756793761,6.615364075,0.420580013,0.478974469,0.489423161
Quebec,QC,2408,Region de l'Abitibi-Temiscamingue,150702,64638,2.331458781,1610.272949,846.6349112,894.5288696,6.773806095,5.849080725,5.139503002,0.472062457,0.532191485,0.537120301
Quebec,QC,2409,Region de la Cote-Nord,69112,268327,0.257567743,2112.750244,1102.766912,1164.479126,7.185025215,6.375871888,6.064268112,0.590092607,0.671190141,0.671912747
Quebec,QC,2410,Region du Nord-du-Quebec,15294,340318,0.044941566,1837.458496,894.0980856,984.8898926,7.022725582,6.160201704,5.911595821,0.684614874,0.774558675,0.781682803
Quebec,QC,2411,Region de la GaspesieIles-de-la-Madeleine,88162,20653,4.268710169,825.6032715,240.9796523,206.7974243,6.17028141,4.933490215,4.231863022,0.41428371,0.40804312,0.390589725
Quebec,QC,2412,Region de la Chaudiere-Appalaches,429844,15368,27.9701254,1668.130859,897.2184663,967.3847046,6.795481682,5.983877173,5.625509262,0.329367917,0.359970088,0.368042952
Quebec,QC,2413,Region de Laval,426467,248,1720.340604,5098.612305,3380.870999,3745.297119,8.308174133,7.970472189,8.061364174,0.131124658,0.122779303,0.14151022
Quebec,QC,2414,Region de Lanaudiere,448304,13405,33.44205389,2447.084717,1490.688423,1631.873047,7.278082848,6.643861277,6.491046906,0.349693545,0.401252134,0.409411268
Quebec,QC,2415,Region des Laurentides,565427,22463,25.17100729,2487.749023,1503.615184,1533.321167,7.248362541,6.631542051,6.407084942,0.359080492,0.407947467,0.409798616
Quebec,QC,2416,Region de la Monteregie,1346772,8819,152.720178,3256.855957,2094.348235,2298.038574,7.638301849,7.12815345,7.114565849,0.258063386,0.287958069,0.298305772
Quebec,QC,2417,Region du Nunavik,9991,502954,0.019864748,2369.552002,511.130485,123.1911469,6.593485832,5.492475401,3.68083024,0.735134965,0.769982166,0.654866329
Quebec,QC,2418,Region des Terres-Cries-de-la-Baie-James,17650,5784,3.051388457,1620.939453,592.6983248,380.8989868,6.681168556,5.847929784,4.250791073,0.548745522,0.61289826,0.562563687
Saskatchewan,SK,4700,Entire Province,1114487,640613,1.739719912,2397.609863,1406.700773,1570.171143,6.788448811,6.066599247,5.919888496,0.44778584,0.500715124,0.508860935
Saskatchewan,SK,471,Far North,51039,308303,0.165547468,1585.822998,449.0677508,522.0876465,6.573388577,5.352755679,4.761488914,0.594841482,0.624467372,0.636737297
Saskatchewan,SK,472,North,205157,107132,1.914982134,1579.022705,664.1594859,788.6358032,5.984467983,5.003511551,4.672129154,0.467790284,0.505034959,0.519301208
Saskatchewan,SK,473,Central,136520,89133,1.531642872,927.2342529,434.2977173,512.9159546,5.362241268,4.406976462,4.143759251,0.452057165,0.495538825,0.510128502
Saskatchewan,SK,474,Saskatoon,296737,11118,26.6889294,3676.972168,2287.593852,2540.373047,7.766705513,7.287496707,7.329207897,0.407446426,0.477785495,0.489005638
Saskatchewan,SK,475,Regina,236060,8293,28.46376786,3393.80127,2285.590908,2482.023682,7.80177927,7.398363044,7.420620918,0.405320053,0.485987852,0.495134609
Saskatchewan,SK,476,Central,188974,116632,1.620252218,1314.458984,695.5991922,809.8683472,5.947772503,5.03315608,4.792530537,0.463912093,0.519551803,0.532611565
Saskatchewan,SK,4750,Central East,98960,50572,1.956806474,965.3683472,467.0991394,545.2216797,5.425032616,4.516472918,4.310890198,0.455844739,0.505593874,0.519866705
Saskatchewan,SK,4751,Central West,37560,38561,0.974046462,826.7631836,347.9488235,427.8813477,5.196810722,4.118729878,3.703838348,0.505814448,0.556671037,0.576237288
Saskatchewan,SK,4752,Far North Central,2277,54187,0.042025647,983.8273315,339.9241864,173.5677795,6.606277466,5.433821322,3.275759459,0.735835839,0.819160209,0.761022252
Saskatchewan,SK,4753,Far North East,21538,126773,0.169890496,1976.034546,472.0033193,575.7973633,7.132632256,5.859661689,5.677071571,0.644606156,0.672850388,0.690508792
Saskatchewan,SK,4754,Far North West,27224,127343,0.213784892,1327.473999,440.275155,509.0542908,6.128208637,4.934922886,4.155755043,0.601203322,0.64912297,0.66129821
Saskatchewan,SK,4755,North Central,86123,27075,3.180905101,1856.893311,780.532196,954.0405884,6.252995491,5.324430067,5.082708836,0.490755422,0.539001636,0.558839494
Saskatchewan,SK,4756,North East,42631,47746,0.892875391,1004.394409,351.6907341,467.9140015,5.244436741,4.235794382,3.988811493,0.518627085,0.554699962,0.581246692
Saskatchewan,SK,4757,North West,76402,32311,2.364569222,1586.430664,707.2349078,781.2046509,6.094703197,5.069721413,4.591833115,0.494737479,0.549310737,0.556990217
Saskatchewan,SK,4760,South Central,59191,33252,1.780071782,1710.777466,977.4752265,1167.747192,6.412170887,5.631141139,5.552937508,0.52092032,0.605878158,0.622943464
Saskatchewan,SK,4761,South East,92109,46304,1.989215896,1083.99707,498.3968642,583.8885498,5.644221306,4.636271501,4.356086254,0.466178395,0.514097035,0.52889461
Saskatchewan,SK,4762,South West,37674,37076,1.016122519,1255.251099,735.1543745,800.0439453,5.960303307,5.064632361,4.66496706,0.535539306,0.625655562,0.633696685
Yukon,YT,6001,Yukon,37893,483831,0.078319138,1870.117554,603.6038383,893.7633057,6.164690971,5.168543926,5.252128601,0.635523208,0.683741759,0.713733475
