rank_GPW_30as,rank_GPW_2.5am,rank_GHS_1km,name,threelett,area,pop,pwpd_GHS_1km,pwlogpd_GHS_1km,popdens,gamma_GHS_1km,pwpd_GPW_30as,pwlogpd_GPW_30as,pwpd_GPW_2.5am,pwlogpd_GPW_2.5am,pwpd_GPW_15am,pwlogpd_GPW_15am,pwpd_GPW_30am,pwlogpd_GPW_30am,pwpd_GPW_1deg,pwlogpd_GPW_1deg
74,93,159,Ireland,IRL,70280,4526574.785,1954.298087,6.429768296,64.40772317,0.305777658,2038.662354,6.177772522,1225.085938,5.758285999,407.5037231,4.906656742,327.2171326,4.915751457,175.1931305,4.758175373
75,99,148,Estonia,EST,45340,1251891.49,2207.30474,6.711510302,27.61119298,0.408629803,2034.25647,6.219213009,1171.847534,5.776817799,317.4228821,4.767342091,155.5658417,4.265473366,19.73860931,2.91494894
76,55,21,Colombia,COL,1141748.984,47573824.73,14865.42988,9.105611565,41.66749906,0.421353739,2014.717285,6.0452075,1796.101318,5.965462208,906.1557007,5.585351467,475.0376587,5.261593819,258.6960144,4.977939606
77,62,12,Cameroon,CMR,475440,22599557.52,18872.16822,8.977433156,47.53398436,0.457772373,1982.591675,5.43503952,1735.321777,5.387585163,440.6811523,4.997353077,231.4443512,4.820355892,141.2271271,4.518863201
78,63,143,Denmark,DNK,42920,5113183.572,2263.594395,6.651010017,119.1328885,0.276032996,1967.653687,6.164003372,1713.205688,6.055580616,923.0980835,5.74016428,258.0276794,5.152194977,111.0846634,4.648121357
79,88,169,United States of America,PRI,8870,3618268.02,1893.517268,7.052738632,407.9219865,0.168871594,1949.903809,7.009117603,1268.534424,6.64098835,742.1797485,6.312195778,507.3105469,6.162663937,0,0
80,66,97,Azerbaijan,AZE,86600,9574568.952,4813.661782,7.717641674,110.5608424,0.331922693,1933.459473,5.750392437,1611.638916,5.683621407,1103.794067,5.498202801,101.2273407,4.51086235,194.8920288,4.890478134
81,73,23,Afghanistan,AFG,652860,32231640.72,14591.53469,8.635707506,49.36991195,0.424886513,1905.40332,5.232693672,1517.60498,5.170391083,521.6817627,4.896679401,258.4568787,4.686584473,167.5859985,4.565527916
82,94,176,New Zealand,NZL,267710,4174521.85,1712.219542,6.769348183,15.59344758,0.375965992,1902.786499,6.667650223,1221.08252,6.164120197,303.163269,4.74528265,347.9294434,4.809921741,108.3470993,3.952924728
83,56,121,Thailand,THA,513120,67105942.05,3365.59952,7.22384425,130.7802114,0.247016869,1900.236572,5.825567245,1795.210815,5.799652576,1209.892212,5.6870327,821.5830078,5.576327324,127.1225891,4.709703922
84,77,38,Myanmar,MMR,676590,51326990.55,10663.75501,8.248913403,75.86129052,0.368399655,1828.176636,5.376306057,1493.080688,5.343376637,849.3060913,5.212132454,162.1153717,4.753956318,126.6552582,4.609317303
85,92,106,Tajikistan,TJK,141380,8494569.337,4190.188762,7.662387846,60.08324613,0.357930355,1806.842773,5.523361683,1235.879761,5.427250862,275.1015015,5.113274097,197.5125885,4.95530653,151.1460266,4.770261765
86,76,84,Tunisia,TUN,163610,10273579.34,5628.517612,8.048526985,62.79310152,0.374482797,1798.57605,5.829874039,1499.417236,5.764109612,662.6981812,5.333528042,520.0944214,5.434265137,251.5339661,5.027275085
87,74,40,Togo,TGO,56790,7259244.784,10251.92669,8.567684285,127.8261099,0.400521041,1792.639526,5.887766838,1517.032715,5.799694538,154.7457428,4.784395218,457.7111511,5.427132607,262.5071106,5.234263897
88,75,151,Belgium,BEL,30530,11376304.65,2195.439622,6.954782601,372.6270766,0.171748943,1782.138306,6.593894958,1511.72522,6.542653561,835.8284302,6.305465221,618.1763916,6.257387161,426.7445679,6.032240391
89,68,117,Malaysia,MYS,330345,28446038.38,3520.191216,7.590503745,86.1100921,0.29199522,1738.179565,6.269089222,1560.758423,6.204172134,1078.634521,5.818188667,562.3615723,5.487318993,541.7960815,5.689023972
90,121,167,Fiji,FJI,18270,790061.9237,1905.347678,6.339620298,43.24367398,0.385770181,1639.961792,5.797460556,947.1563721,5.466443062,227.0798035,4.665465832,20.49339485,2.942594767,24.66544914,3.205403566
91,83,113,Liberia,LBR,111370,4104239.658,3820.602974,7.472712965,36.85229108,0.39939766,1637.664429,5.199862957,1341.568115,5.056361198,328.4508362,4.536110401,47.46701431,3.691398382,116.6454163,4.409558773
92,90,137,Switzerland,CHE,41290.40039,8284407.271,2456.600125,7.207199077,200.6376105,0.23569274,1586.858398,6.53450346,1254.850098,6.3862257,501.3407593,5.837007523,390.6362,5.745369434,276.716156,5.513231277
93,81,78,Algeria,DZA,2381740,38737938.47,6064.92333,8.134161958,16.26455384,0.403265762,1573.20459,5.879611969,1384.477295,5.795329571,557.640564,5.327700138,441.1431885,5.130647659,262.3432922,5.037119865
94,82,75,Benin,BEN,114760,11005801.78,6271.585316,8.05283459,95.90276907,0.358818448,1559.565063,5.580103397,1358.439087,5.536221504,647.1209106,5.371567249,197.9771118,4.890272617,309.9241943,5.168011189
