rank_GHS_250m,rank_GHS_1km,rank_GPW_30as,fips_state,fips_county,county,countylong,state,stateabb,pop,landarea,popdens,pwpd_GHS_250m,pwpd_GHS_1km,pwpd_GPW_30as,pwpd_GPW_2.5as,pwlogpd_GHS_250m,pwlogpd_GHS_1km,pwlogpd_GPW_30as,pwlogpd_GPW_2.5as,gamma_GHS_250m,gamma_GHS_1km
365,545,745,9,13,Tolland,Tolland County,Connecticut,CT,160815.9368,1062.807466,151.3123891,2218.491943,882.4527967,751.6356201,364.4768066,6.733962059,5.924282835,5.771045685,5.465339661,0.276085253,0.253040966
366,301,327,72,13,Arecibo,Arecibo Municipio,Puerto Rico,PR,97083.06606,326.179587,297.6368538,2209.810791,1210.628508,1218.210938,746.8051147,7.262955189,6.673242831,6.587840557,6.133780479,0.237393541,0.242424774
367,383,394,6,115,Yuba,Yuba County,California,CA,78351.30781,1636.913845,47.86526062,2208.93335,1055.369522,1119.354858,604.1497803,7.100351334,6.269879023,6.187131405,5.710063934,0.376891853,0.417975522
368,273,250,12,117,Seminole,Seminole County,Florida,FL,452231.0113,801.15034,564.4770884,2208.816406,1267.383826,1381.91626,1072.545532,7.388560295,6.976071149,7.032334805,6.843455315,0.144603994,0.120969847
369,234,225,53,53,Pierce,Pierce County,Washington,WA,835524.684,4320.226613,193.3983466,2204.641113,1356.375975,1486.72876,1070.031372,7.300654888,6.891010566,6.952003002,6.670492649,0.218129153,0.232684861
370,332,351,37,63,Durham,Durham County,North Carolina,NC,291502.1073,741.994332,392.862984,2202.860352,1158.094372,1181.203613,813.977478,7.331410885,6.785024066,6.781955719,6.475987911,0.184402202,0.163567009
371,489,532,37,147,Pitt,Pitt County,North Carolina,NC,186760.9952,1689.629354,110.5337065,2199.120605,941.8030353,927.2633057,572.0987549,6.997528553,6.26216263,6.130734921,5.762539387,0.293130808,0.288266875
372,252,267,13,135,Gwinnett,Gwinnett County,Georgia,GA,930254.8276,1115.308546,834.0784538,2198.410889,1313.172371,1343.763428,988.2715454,7.340838432,6.983665568,6.996795177,6.799334049,0.098759284,0.06468306
373,425,429,72,43,Coamo,Coamo Municipio,Puerto Rico,PR,41699.11473,202.052324,206.3778031,2198.393555,1008.940224,1063.43335,403.7722168,7.16399765,6.453427089,6.304127216,5.771435738,0.292288074,0.298943075
374,202,233,29,189,St. Louis,St. Louis County,Missouri,MO,980515.175,1314.263296,746.0568806,2196.376221,1440.368879,1451.61792,1126.689941,7.42455101,7.121430197,7.120853424,6.907605171,0.108518438,0.091609774
375,283,244,55,63,La Crosse,La Crosse County,Wisconsin,WI,117607.241,1170.076618,100.5124273,2194.529297,1251.061865,1404.839478,775.2092896,7.207242966,6.554873075,6.526341915,5.98158741,0.313653629,0.356904348
376,261,263,25,27,Worcester,Worcester County,Massachusetts,MA,819459.1283,3912.554985,209.4434791,2190.144043,1285.915339,1352.319092,784.703125,7.045245647,6.468992223,6.427084923,6.081877232,0.212920081,0.219388785
377,235,256,48,329,Midland,Midland County,Texas,TX,147073.5695,2331.915364,63.06985743,2185.523682,1352.780519,1375.964355,879.4415283,7.279424191,6.816948378,6.771775246,6.317644119,0.336727502,0.395344133
378,384,465,72,11,Añasco,Añasco Municipio,Puerto Rico,PR,29472.79515,101.747427,289.6662453,2185.378174,1055.106163,1031.045654,322.5140076,7.237696648,6.534808545,6.445081234,5.651094913,0.271715254,0.279647181
379,639,787,51,3,Albemarle,Albemarle County,Virginia,VA,107408.1493,1866.007829,57.56039586,2183.624023,787.9566586,718.9786377,184.1760864,6.724251747,5.797931545,5.488108635,4.612148762,0.351823741,0.347419328
380,317,321,36,7,Broome,Broome County,New York,NY,198576.3099,1828.061552,108.6267088,2181.097168,1182.030268,1228.405029,782.8806763,7.041527748,6.381316979,6.257432461,5.909511566,0.291656492,0.317809594
381,415,470,5,143,Washington,Washington County,Arkansas,AR,229628.6016,2439.709563,94.12128605,2178.83252,1016.001921,1022.167786,603.8859863,6.947948456,6.300564483,6.178102493,5.823494434,0.29788555,0.305020236
382,229,221,55,59,Kenosha,Kenosha County,Wisconsin,WI,175435.311,704.075246,249.1712526,2176.828857,1367.203469,1493.162354,1116.866089,7.215018749,6.724574672,6.798665524,6.515393257,0.233297159,0.259632766
383,210,220,20,91,Johnson,Johnson County,Kansas,KS,587306.6189,1226.6673,478.7823225,2176.409912,1419.915048,1495.220947,1164.574829,7.428706169,7.075585174,7.104758739,6.874280453,0.152551653,0.152854003
384,492,727,72,54,Florida,Florida Municipio,Puerto Rico,PR,12812.10275,39.391499,325.2504494,2175.5896,938.4693937,765.6807861,360.012207,7.344007969,6.530556671,6.258850098,5.851882458,0.295062834,0.288455237
385,315,323,49,53,Washington,Washington County,Utah,UT,170095.5125,6287.037025,27.05495638,2173.816406,1186.515804,1224.924683,545.0653687,7.26770401,6.674089795,6.597642899,5.847721577,0.381474359,0.432289068
386,660,571,33,17,Strafford,Strafford County,New Hampshire,NH,126903.2445,951.745163,133.3374199,2173.17749,775.5722745,892.6539307,361.4177856,6.856017113,6.011764428,5.926807404,5.462588787,0.289420177,0.256728192
387,280,254,42,79,Luzerne,Luzerne County,Pennsylvania,PA,317625.6965,2305.00114,137.7984987,2169.818604,1256.343542,1379.130615,729.5565186,7.151447296,6.504781658,6.485422134,5.967133999,0.261922157,0.285446862
388,263,266,40,143,Tulsa,Tulsa County,Oklahoma,OK,621847.4284,1476.502056,421.1625889,2169.69458,1279.913047,1344.839355,897.5961914,7.340145111,6.909848103,6.92997694,6.598184109,0.163387219,0.152317775
389,370,476,72,121,Sabana Grande,Sabana Grande Municipio,Puerto Rico,PR,25342.21573,94.050247,269.454005,2167.238525,1081.608925,1013.886169,360.6434937,7.155288219,6.45091566,6.391593933,5.77892828,0.286996178,0.305866967
390,372,379,24,21,Frederick,Frederick County,Maryland,MD,252274.0641,1710.755614,147.4635313,2159.46167,1080.252226,1141.978516,564.0377197,7.064086914,6.340504944,6.272899151,5.726570129,0.262663322,0.267488481
391,281,285,48,27,Bell,Bell County,Texas,TX,350152.3953,2723.084632,128.5866738,2155.155273,1254.324962,1303.988281,809.3748169,7.25972414,6.718604427,6.668888092,6.209634781,0.263711688,0.28797569
392,258,265,51,550,Chesapeake,Chesapeake city,Virginia,VA,230224.9574,876.737871,262.5926916,2146.881348,1292.941076,1348.767334,975.0487061,7.356358051,6.910704339,6.905819416,6.634734154,0.218672255,0.235245238
393,260,241,42,71,Lancaster,Lancaster County,Pennsylvania,PA,540941.773,2444.751463,221.2665709,2146.633789,1287.644548,1409.072144,690.4729614,6.914601803,6.373643983,6.381178379,5.952919483,0.21503532,0.225745927
394,1136,1533,28,1,Adams,Adams County,Mississippi,MS,30986.73983,1197.464266,25.8769641,2143.320313,509.3048185,395.1321411,214.5376892,6.559281826,5.565427144,5.261644363,4.747686386,0.447837624,0.420387941
